traditional,simplified,avg_l2_distance,avg_cosine_similarity,last_layer_name,last_layer_l2_distance,last_layer_cosine_similarity
榘,矩,21.138055654672478,0.5923178551288751,layer_12,17.451519012451172,0.35110732913017273
彿,佛,20.68041882148156,0.6009812377966367,layer_12,12.8182954788208,0.4753507375717163
閤,合,19.222170683053825,0.6373577450330441,layer_12,12.345967292785645,0.5426012277603149
錶,表,19.29867803133451,0.6542264956694382,layer_12,13.073598861694336,0.4709121584892273
蒐,搜,18.9755246089055,0.6670105686554542,layer_12,12.453523635864258,0.5370053052902222
唸,念,18.530961183401253,0.6694945761790643,layer_12,13.809826850891113,0.408596932888031
蔔,卜,18.436965502225437,0.6748525958794814,layer_12,12.001254081726074,0.5653092265129089
穀,谷,18.268250685471756,0.6773501428274008,layer_12,12.186114311218262,0.5247232913970947
傢,家,17.72849919245793,0.6847652242733882,layer_12,11.030930519104004,0.6455237865447998
喫,吃,17.779354095458984,0.6911511833851154,layer_12,10.8864164352417,0.579486608505249
迴,回,18.512409210205078,0.692173992212002,layer_12,12.012571334838867,0.48088374733924866
闆,板,17.867917207571175,0.6926402793480799,layer_12,11.396709442138672,0.5881052017211914
剋,克,17.59927698282095,0.6939449814649729,layer_12,11.492280006408691,0.5532633066177368
慄,栗,17.606434455284706,0.6998660472723154,layer_12,12.769864082336426,0.5543460845947266
摺,折,18.179584356454704,0.7006699672112098,layer_12,13.974416732788086,0.5041359066963196
儁,俊,17.402301348172703,0.7018887962286289,layer_12,11.65761947631836,0.5996407866477966
崑,昆,18.126983349139874,0.7019742406331576,layer_12,11.634247779846191,0.6467376351356506
碕,埼,17.438775576077976,0.7036236776755407,layer_12,11.397343635559082,0.618126630783081
鬆,松,17.39757567185622,0.7079623662508451,layer_12,10.779207229614258,0.6511289477348328
緻,致,17.175338304959812,0.7101083260316116,layer_12,9.881336212158203,0.6204932928085327
