traditional,simplified,avg_l2_distance,avg_cosine_similarity,last_layer_name,last_layer_l2_distance,last_layer_cosine_similarity
䲁,鳚,11.608955163222094,0.8883867217944219,layer_12,10.292863845825195,0.8566996455192566
丟,丢,6.2009603427006645,0.958487657400278,layer_12,5.155468463897705,0.8772634267807007
亂,乱,9.24820221387423,0.9200893273720374,layer_12,7.59306001663208,0.8202115297317505
亞,亚,4.742628189233633,0.9756278303953317,layer_12,3.4671120643615723,0.9470224380493164
佈,布,16.764945176931526,0.7330475541261526,layer_12,12.223441123962402,0.5207462906837463
佔,占,12.42529531625601,0.8550940889578599,layer_12,9.406615257263184,0.6747391223907471
來,来,5.431633509122408,0.9674586791258591,layer_12,4.315089702606201,0.9305415153503418
侶,侣,7.755483260521522,0.9422009587287903,layer_12,5.750044345855713,0.885091245174408
俁,俣,11.494732489952675,0.8780700839482821,layer_12,8.305434226989746,0.802931010723114
俠,侠,7.434463390937219,0.9473160138496985,layer_12,5.096489429473877,0.9201585650444031
倆,俩,7.481772606189434,0.9453845620155334,layer_12,6.752697467803955,0.8576592803001404
倉,仓,8.630434953249418,0.9306930532822242,layer_12,7.088906288146973,0.8681263327598572
們,们,5.119825913355901,0.9734480426861689,layer_12,3.958998203277588,0.9413974285125732
倖,幸,17.24459303342379,0.7250719689405881,layer_12,12.104557991027832,0.6239762902259827
倫,伦,7.0691746565011835,0.9488568397668692,layer_12,4.606578350067139,0.9129202365875244
偉,伟,6.884013689481295,0.9508178004851708,layer_12,4.000328540802002,0.9354821443557739
側,侧,10.085792101346529,0.9030036467772263,layer_12,7.4925737380981445,0.7837662696838379
偵,侦,7.778897982377273,0.9440427926870493,layer_12,4.635708808898926,0.9403287768363953
傑,杰,6.922469212458684,0.9501710396546584,layer_12,4.4742655754089355,0.9237060546875
傘,伞,12.284956345191368,0.855324217906365,layer_12,7.516972541809082,0.8381493091583252
備,备,10.327205951397236,0.9012190424478971,layer_12,8.255473136901855,0.7541365623474121
傢,家,17.72849919245793,0.6847652242733882,layer_12,11.030930519104004,0.6455237865447998
傭,佣,10.620861787062426,0.8951304738338177,layer_12,8.284713745117188,0.8190608024597168
傳,传,5.0088027990781345,0.974148365167471,layer_12,5.08988094329834,0.9218437075614929
債,债,10.23854453747089,0.9030400514602661,layer_12,9.925551414489746,0.773838996887207
傷,伤,6.911710115579458,0.9544138037241422,layer_12,4.512822151184082,0.9247024059295654
傾,倾,8.17892390031081,0.9331639409065247,layer_12,6.349757671356201,0.8658059239387512
僅,仅,6.533968632037823,0.9579508029497587,layer_12,4.81081485748291,0.9144435524940491
僉,佥,8.077863949995775,0.9366654386887183,layer_12,5.309906005859375,0.9129197597503662
僑,侨,5.571464006717388,0.9688030022841233,layer_12,3.709500551223755,0.9489835500717163
僕,仆,10.456294169792763,0.8993545449697055,layer_12,7.929622173309326,0.8135345578193665
僱,雇,9.453322483943058,0.9122483180119441,layer_12,6.738865852355957,0.8346923589706421
價,价,4.228159079184899,0.9814038918568537,layer_12,3.9733331203460693,0.9534521102905273
儀,仪,6.5458347247197075,0.9578069952818064,layer_12,4.498818397521973,0.9414601922035217
儁,俊,17.402301348172703,0.7018887962286289,layer_12,11.65761947631836,0.5996407866477966
儂,侬,10.134829374460073,0.9087014244152949,layer_12,8.989026069641113,0.8041763305664062
億,亿,5.823914931370662,0.9655615183023306,layer_12,4.266077518463135,0.9341557621955872
儉,俭,11.306392156160795,0.8806626338225144,layer_12,7.978020668029785,0.7746435403823853
償,偿,8.960917766277607,0.9207165791438177,layer_12,7.215769290924072,0.8451557159423828
優,优,7.308369819934551,0.9497546782860389,layer_12,4.546485424041748,0.9352000951766968
儲,储,9.87092557320228,0.9077135874674871,layer_12,6.1856160163879395,0.8466478586196899
儷,俪,9.279927070324238,0.9151568733728849,layer_12,5.900506019592285,0.8805787563323975
儼,俨,10.770745644202599,0.8895548215279212,layer_12,8.078282356262207,0.7906954884529114
兇,凶,10.685831473423885,0.8900229059732877,layer_12,7.888350963592529,0.7699553966522217
兌,兑,10.211616809551533,0.9076596452639654,layer_12,8.256383895874023,0.7894793152809143
兒,儿,5.193751115065354,0.9734849058664762,layer_12,4.095390796661377,0.9429287910461426
兗,兖,7.44662251839271,0.9492132434478173,layer_12,7.082092761993408,0.9271833896636963
內,内,7.8646722206702595,0.9397994784208444,layer_12,6.174988269805908,0.8389657735824585
兩,两,4.667270550361047,0.9747022298666147,layer_12,3.830888032913208,0.9508980512619019
