pair_index,traditional,simplified,layer_index,layer_name,l2_distance,cosine_distance,cosine_similarity,traditional_tokens,traditional_token_ids,simplified_tokens,simplified_token_ids
0,䲁,鳚,0,embedding,13.522953987121582,0.18811213970184326,0.8118878602981567,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,1,layer_1,12.285751342773438,0.13496816158294678,0.8650318384170532,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,2,layer_2,11.564507484436035,0.12919193506240845,0.8708080649375916,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,3,layer_3,11.585956573486328,0.11583161354064941,0.8841683864593506,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,4,layer_4,12.03564453125,0.10842859745025635,0.8915714025497437,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,5,layer_5,11.094624519348145,0.09302151203155518,0.9069784879684448,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,6,layer_6,10.301958084106445,0.07304459810256958,0.9269554018974304,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,7,layer_7,10.466949462890625,0.08774745464324951,0.9122525453567505,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,8,layer_8,10.090847969055176,0.08094751834869385,0.9190524816513062,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,9,layer_9,11.022043228149414,0.08184415102005005,0.91815584897995,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,10,layer_10,12.696371078491211,0.09876590967178345,0.9012340903282166,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,11,layer_11,13.955945014953613,0.1157686710357666,0.8842313289642334,"[""䲁""]",[2071],"[""鳚""]",[8705]
0,䲁,鳚,12,layer_12,10.292863845825195,0.1433003544807434,0.8566996455192566,"[""䲁""]",[2071],"[""鳚""]",[8705]
1,丟,丢,0,embedding,9.826086044311523,0.09579885005950928,0.9042011499404907,"[""丟""]",[2095],"[""丢""]",[2097]
1,丟,丢,1,layer_1,5.352363109588623,0.041300415992736816,0.9586995840072632,"[""丟""]",[2095],"[""丢""]",[2097]
1,丟,丢,2,layer_2,5.134862899780273,0.03449070453643799,0.965509295463562,"[""丟""]",[2095],"[""丢""]",[2097]
1,丟,丢,3,layer_3,5.435192108154297,0.030812382698059082,0.9691876173019409,"[""丟""]",[2095],"[""丢""]",[2097]
1,丟,丢,4,layer_4,6.2510762214660645,0.0360032320022583,0.9639967679977417,"[""丟""]",[2095],"[""丢""]",[2097]
1,丟,丢,5,layer_5,5.82970666885376,0.0298464298248291,0.9701535701751709,"[""丟""]",[2095],"[""丢""]",[2097]
