layer_index,layer_name,metric,mean,std,median
0,0,cag,0.29333297722041607,0.1823958112874148,0.25376054644584656
0,0,cosine_s_t1,0.7285814406350255,0.18493298250714776,0.7632413506507874
0,0,cosine_s_t2,0.6690065041184425,0.18766502084428238,0.7244638204574585
0,0,cosine_t1_t2,0.4509556321427226,0.12482090361147727,0.4363907277584076
1,1,cag,0.20438287407159805,0.14468542905964019,0.2021099030971527
1,1,cosine_s_t1,0.8219337351620197,0.13391590519067587,0.8579630255699158
1,1,cosine_s_t2,0.7748242281377316,0.13620826889740972,0.8167343139648438
1,1,cosine_t1_t2,0.6239520441740751,0.10306471632761631,0.6367495656013489
2,2,cag,0.18341867998242378,0.13100894081757197,0.18562215566635132
2,2,cosine_s_t1,0.8305476102977991,0.12559476238387485,0.8650557100772858
2,2,cosine_s_t2,0.7909671887755394,0.1206125829942749,0.8350409269332886
2,2,cosine_t1_t2,0.6694676540791988,0.09782585952346043,0.6844921708106995
3,3,cag,0.15434687212109566,0.1038709748083709,0.15143144130706787
3,3,cosine_s_t1,0.8549198694527149,0.10506395703197599,0.8756744861602783
3,3,cosine_s_t2,0.8252097442746162,0.09894052849383578,0.8569093942642212
3,3,cosine_t1_t2,0.7208418250083923,0.07710686298920016,0.7286207973957062
4,4,cag,0.14022810012102127,0.09325143866453638,0.12163078784942627
4,4,cosine_s_t1,0.8705914355814457,0.0998125563235644,0.8921716213226318
4,4,cosine_s_t2,0.8443460278213024,0.08620037675901755,0.8749535083770752
4,4,cosine_t1_t2,0.7507224157452583,0.0659191887402858,0.7563577890396118
5,5,cag,0.1110033169388771,0.07635519714782382,0.09615078568458557
5,5,cosine_s_t1,0.8977597802877426,0.08204789957672018,0.916774183511734
5,5,cosine_s_t2,0.8796218708157539,0.06849491681106597,0.9064112305641174
5,5,cosine_t1_t2,0.8073380887508392,0.05280187208927146,0.8167771100997925
6,6,cag,0.08948065713047981,0.06254170166240178,0.07405674457550049
6,6,cosine_s_t1,0.9182274080812931,0.06448225820510026,0.9298344850540161
6,6,cosine_s_t2,0.9009627997875214,0.05975648945340143,0.9189682304859161
6,6,cosine_t1_t2,0.8447441384196281,0.04308890272002814,0.8629644513130188
7,7,cag,0.09843401238322258,0.07586499905907393,0.08099326491355896
7,7,cosine_s_t1,0.912240281701088,0.06757417080768549,0.9239976108074188
7,7,cosine_s_t2,0.8880275823175907,0.07287453997419537,0.9050713777542114
7,7,cosine_t1_t2,0.8279413431882858,0.050248270790828976,0.8466788232326508
8,8,cag,0.09380297362804413,0.07598935828476862,0.07797390222549438
8,8,cosine_s_t1,0.9156255312263966,0.062050991801835265,0.9280361533164978
8,8,cosine_s_t2,0.8871282301843166,0.07456084029847114,0.9077950417995453
8,8,cosine_t1_t2,0.832708977162838,0.04687043994884637,0.8357704281806946
9,9,cag,0.07138074934482574,0.056860067090293384,0.05323866009712219
9,9,cosine_s_t1,0.9310122653841972,0.048769209983413955,0.9409593343734741
9,9,cosine_s_t2,0.9076540172100067,0.0544729443454185,0.9256522953510284
9,9,cosine_t1_t2,0.8697984851896763,0.03523904645004435,0.8675714135169983
10,10,cag,0.05639006197452545,0.04335542380231593,0.03528401255607605
10,10,cosine_s_t1,0.9414002299308777,0.03997548872224868,0.9476719796657562
10,10,cosine_s_t2,0.9240803122520447,0.040868386813842555,0.9343985021114349
10,10,cosine_t1_t2,0.8931077346205711,0.027971815672669733,0.8965964317321777
11,11,cag,0.04847371578216553,0.037747907505372595,0.034002095460891724
11,11,cosine_s_t1,0.939343523234129,0.03987342231483895,0.9474606215953827
11,11,cosine_s_t2,0.9281471185386181,0.034743056126556,0.9365102350711823
11,11,cosine_t1_t2,0.8996438570320606,0.026817223740441515,0.9005260467529297
12,12,cag,0.1766503620892763,0.12453548359114935,0.12846717238426208
12,12,cosine_s_t1,0.793916093185544,0.12010689579326211,0.8444920778274536
12,12,cosine_s_t2,0.739858279004693,0.13008704774062144,0.7799549102783203
12,12,cosine_t1_t2,0.6502542272210121,0.08686361666904896,0.6708541810512543
