simplified,traditional_1,traditional_2,avg_cag,avg_cosine_s_t1,avg_cosine_s_t2,avg_cosine_t1_t2,last_layer_name,last_layer_cag,last_layer_cosine_s_t1,last_layer_cosine_s_t2,last_layer_cosine_t1_t2
仑,侖,崙,0.020528674125671387,0.872227682517125,0.8872837149179899,0.7577558343227093,layer_12,0.08632785081863403,0.7213936448097229,0.8077214956283569,0.6108460426330566
冲,沖,衝,0.05174038501886221,0.8529801277013925,0.8858429514444791,0.7615537780981797,layer_12,0.06705033779144287,0.8404869437217712,0.7734366059303284,0.6814804673194885
历,曆,歷,0.10489992911999042,0.8346282106179458,0.9395281397379361,0.7721543036974393,layer_12,0.07853305339813232,0.7322899103164673,0.8108229637145996,0.6408623456954956
发,發,髮,0.21713244227262643,0.9646910016353314,0.747558559362705,0.7245657260601337,layer_12,0.1944671869277954,0.896507740020752,0.7020405530929565,0.6673216223716736
复,復,複,0.14029157161712646,0.9250410886911246,0.7847495170739981,0.76434820661178,layer_12,0.21877747774124146,0.8741461634635925,0.6553686857223511,0.6723870635032654
尽,儘,盡,0.07833367586135864,0.8144810841633723,0.8928147600247309,0.7291253254963801,layer_12,0.14767992496490479,0.6940698623657227,0.8417497873306274,0.6737880706787109
当,噹,當,0.3095010496102847,0.5912585040697684,0.9007595548262963,0.6255487398459361,layer_12,0.24251338839530945,0.46157994866371155,0.704093337059021,0.6041613817214966
汇,匯,彙,0.17485137169177717,0.9183245163697463,0.7434731446779691,0.7640285629492539,layer_12,0.25382041931152344,0.8649568557739258,0.6111364364624023,0.6665729880332947
烟,煙,菸,0.062421051355508655,0.9275957162563617,0.865174664900853,0.7956180251561679,layer_12,0.09870237112045288,0.9169417023658752,0.8182393312454224,0.7200865149497986
签,簽,籤,0.12126813485072209,0.9496692189803491,0.828401084129627,0.8070329954990973,layer_12,0.10925441980361938,0.8957276344299316,0.7864732146263123,0.7371678948402405
脏,臟,髒,0.12923425894517165,0.9356494408387405,0.8064151818935688,0.7412649163833032,layer_12,0.3029332160949707,0.872412919998169,0.5694797039031982,0.46753180027008057
获,獲,穫,0.3169580789712759,0.9633295994538528,0.6463715204825768,0.696671738074376,layer_12,0.5539951324462891,0.9408425092697144,0.3868473470211029,0.4276760220527649
证,証,證,0.14419282858188337,0.8337432742118835,0.9779361027937669,0.83355385523576,layer_12,0.2437734603881836,0.7093266248703003,0.9531000852584839,0.6965973377227783
赞,讚,贊,0.05315318474402794,0.8304423414743863,0.8835955262184143,0.7666186644480779,layer_12,0.08462095260620117,0.6862256526947021,0.7708466053009033,0.6991997361183167
须,須,鬚,0.12880069934404814,0.9114117484826308,0.7826110491385827,0.7165700655717117,layer_12,0.04666483402252197,0.848497211933136,0.801832377910614,0.6693212985992432
饥,飢,饑,0.06524694424409133,0.8512639265794021,0.9165108708234934,0.8561756289922274,layer_12,0.09729176759719849,0.7472521662712097,0.8445439338684082,0.7690670490264893
