mapping_index,simplified,traditional_1,traditional_2,layer_index,layer_name,cosine_s_t1,cosine_s_t2,cosine_t1_t2,cag,simplified_tokens,simplified_token_ids,traditional_1_tokens,traditional_1_token_ids,traditional_2_tokens,traditional_2_token_ids
0,仑,侖,崙,0,embedding,0.7148971557617188,0.7678076028823853,0.4568910598754883,0.052910447120666504,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,1,layer_1,0.860514760017395,0.8348633050918579,0.6436828970909119,0.02565145492553711,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,2,layer_2,0.8644340634346008,0.8545133471488953,0.6795949935913086,0.009920716285705566,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,3,layer_3,0.8699257373809814,0.8774496912956238,0.7192867398262024,0.007523953914642334,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,4,layer_4,0.8776592016220093,0.892598569393158,0.7545042037963867,0.014939367771148682,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,5,layer_5,0.9071782827377319,0.9125665426254272,0.8129450082778931,0.0053882598876953125,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,6,layer_6,0.9232819676399231,0.9379274249076843,0.8669913411140442,0.01464545726776123,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,7,layer_7,0.9122423529624939,0.9299954175949097,0.8576818704605103,0.01775306463241577,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,8,layer_8,0.9084779024124146,0.9215891361236572,0.835602343082428,0.013111233711242676,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,9,layer_9,0.9247559309005737,0.9299365282058716,0.8687236309051514,0.0051805973052978516,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,10,layer_10,0.9339509010314941,0.9364792108535767,0.8789359927177429,0.0025283098220825195,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,11,layer_11,0.9202479720115662,0.9312400221824646,0.8651397228240967,0.010992050170898438,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
0,仑,侖,崙,12,layer_12,0.7213936448097229,0.8077214956283569,0.6108460426330566,0.08632785081863403,"[""仑""]",[2192],"[""侖""]",[2284],"[""崙""]",[3551]
1,冲,沖,衝,0,embedding,0.6077837944030762,0.7791640758514404,0.39551079273223877,0.17138028144836426,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,1,layer_1,0.7462352514266968,0.8636091351509094,0.5952268838882446,0.11737388372421265,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,2,layer_2,0.752934992313385,0.8346251249313354,0.6105735301971436,0.08169013261795044,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,3,layer_3,0.7945042848587036,0.8620022535324097,0.6948260068893433,0.06749796867370605,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,4,layer_4,0.8383742570877075,0.8905289173126221,0.7649070024490356,0.05215466022491455,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,5,layer_5,0.8851180076599121,0.9204608201980591,0.8316018581390381,0.03534281253814697,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,6,layer_6,0.9236496686935425,0.9406545162200928,0.8795771598815918,0.017004847526550293,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,7,layer_7,0.9236500859260559,0.9311263561248779,0.8705545663833618,0.0074762701988220215,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,8,layer_8,0.9346534013748169,0.9256454110145569,0.876834511756897,0.00900799036026001,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,9,layer_9,0.9449417591094971,0.9297387003898621,0.9030399322509766,0.01520305871963501,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,10,layer_10,0.9497212767601013,0.9317835569381714,0.9003627300262451,0.01793771982192993,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,11,layer_11,0.9466879367828369,0.9331828951835632,0.8957036733627319,0.013505041599273682,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
1,冲,沖,衝,12,layer_12,0.8404869437217712,0.7734366059303284,0.6814804673194885,0.06705033779144287,"[""冲""]",[2493],"[""沖""]",[4913],"[""衝""]",[7076]
2,历,曆,歷,0,embedding,0.6133586168289185,0.9009663462638855,0.5301070213317871,0.28760772943496704,"[""历""]",[2707],"[""曆""]",[4436],"[""歷""]",[4802]
